id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
14377,Williamsburg 1 bedroom Apartment,56512,Joanna,Brooklyn,Williamsburg,40.70881,-73.9593,Entire home/apt,150,30,107,7/5/19,0.91,1,215
14468,Under the Empire State Building/Midtown Manhattan,56909,Peter,Manhattan,Kips Bay,40.74354,-73.98122,Private room,85,3,20,6/2/19,0.83,1,244
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,40.72004,-73.99104,Private room,110,5,19,5/18/19,0.17,1,301
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,40.75531,-73.99293,Private room,69,2,290,6/29/19,2.48,2,301
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,40.72401,-73.93788,Private room,49,4,138,6/4/19,1.18,3,336
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,60049,Ted,Manhattan,SoHo,40.7221,-73.99775,Entire home/apt,180,30,21,6/29/19,0.29,1,180
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,40.71185,-73.96204,Private room,80,2,43,8/3/19,0.38,1,280
15396,Sunny & Spacious Chelsea Apartment,60278,Petra,Manhattan,Chelsea,40.74623,-73.9953,Entire home/apt,375,180,5,11/3/18,0.12,1,179
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,40.77065,-73.95269,Entire home/apt,250,2,66,3/30/19,0.57,2,218
15729,Village Green,61531,David,Brooklyn,Red Hook,40.67695,-74.01121,Private room,89,12,25,5/21/17,0.22,2,0
16326,Comfortable 4-bedroom apt in family house.,63588,Dimitri,Brooklyn,Prospect Heights,40.67811,-73.96428,Entire home/apt,200,30,143,1/26/19,1.32,2,286
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,40.69,-73.96788,Private room,55,7,27,9/30/17,0.23,2,320
16421,Your Heaven in Hells Kitchen,63924,Mark,Manhattan,Hell's Kitchen,40.75979,-73.99119,Private room,52,30,192,7/30/19,1.64,1,219
16458,Light-filled 2B duplex in the heart of Park Slope!,64056,Sara,Brooklyn,Park Slope,40.67343,-73.98338,Entire home/apt,225,3,4,9/24/17,0.16,1,0
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,40.72649,-73.97904,Private room,80,1,347,7/22/19,4.78,2,92
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,40.70933,-73.96792,Entire home/apt,300,1,149,6/30/19,1.39,1,329
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,40.72298,-73.98474,Private room,99,1,108,6/27/19,1.27,2,342
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,40.80164,-73.93922,Entire home/apt,225,4,192,7/10/19,1.64,1,218
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,40.72162,-73.98008,Entire home/apt,230,5,50,7/9/19,0.44,1,145
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,40.76342,-73.98865,Private room,51,10,23,6/1/19,0.43,1,27
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,40.83139,-73.94095,Private room,65,2,49,6/18/19,1.55,2,353
17747,BLUE TRIM GUEST HOUSE,68599,George,Brooklyn,Clinton Hill,40.68346,-73.96374,Private room,105,2,109,7/26/19,0.95,1,316
18127,Charming East Village One Bedroom Flat,69829,Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,170,5,21,1/2/19,0.19,1,243
18152,Manhattan Room,69942,Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,2,146,8/3/19,1.52,1,259
18198,Little King of Queens,70091,Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,5/31/19,0.22,1,237
18590,Fort Greene Retreat on the Park,71512,Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,6/16/19,1.27,1,149
18728,Beautiful Meatpacking District Loft,71876,DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,4,169,7/29/19,1.65,1,289
18764,Cozy 2 BR in Williamsburg ,72014,Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,62,7/15/19,0.54,4,244
19159,Spacious luminous apt Upper West NYC,73051,Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,55,7/29/19,0.5,1,228
19169,Entire 2 Bedroom - Large & Sunny,73128,Joanna,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,72,7/12/19,0.63,1,317
19282,"Sunny, Spacious Top Floor Haven",73469,Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,17,7/20/19,0.16,1,71
19601,perfect for a family or small group,74303,Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,8/4/16,0.24,1,8
19812,2 bedroom Williamsburg Apt - Bedford L stop,74857,Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,8/9/18,0.53,1,284
20299,Oh glorious spring!,62407,Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,198,7/25/19,1.75,1,27
20300,Great Location for NYC,76627,Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,2/14/16,0.05,1,0
20611,Cozy Bedroom in Williamsburg 3 BR,72014,Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,177,7/22/19,1.55,4,304
20724,Sunny room+Pvte office in huge loft,961342,Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,5/26/19,0.27,1,299
20734,Spacious Prospect Heights Apartment,78460,Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,171,7/28/19,3.44,1,223
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,5/31/19,0.2,6,296
20853,2-bed brownstone duplex + garden,79070,Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,22,7/7/19,0.31,1,186
20913,Charming 1 bed GR8 WBurg LOCATION!,79402,Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,7/22/18,1.56,1,0
21293,Sunny Apartment in Artist Home,44145,Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,119,7/2/19,1.05,2,29
21456,Light-filled classic Central Park ,42032,Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,30,82,7/7/19,0.72,1,198
21644,"Upper Manhattan, New York",82685,Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,10/9/18,0.1,1,365
21794,COZY QUIET room 4 DOOGLERS!,83257,Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,110,30,30,5/1/19,0.27,2,340
22911,The Stuydio Modern and Light Filled,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,10/28/18,1.22,2,108
22918,loft bed - near transportation-15min to times sq,32294,Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,1/3/19,0.81,3,248
23135,House On Henry (3rd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,236,7/16/19,2.1,3,342
23501,Monkey Retreat Manhattan,63318,Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,11/1/12,0.6,1,341
23686,2000 SF 3br 2ba West Village garden townhouse,93790,Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,5/18/19,0.54,2,259
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",97219,Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,338,8/4/19,3.02,1,147
24285,Beautiful Duplex Apartment,97797,Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,11/2/18,0.79,1,9
25235,Large 2 Bedroom Great for Groups!,87773,Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,161,6/2/19,1.43,2,0
25406,"Modern Brooklyn Apt., August sublet",105538,Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,5/26/18,0.39,1,218
25696,"1,800 sq foot in luxury building",107628,Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,171,7/15/19,1.6,1,324
26012,Sunny 2-story Brooklyn townhouse w deck and garden,109589,Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,20,7/30/19,0.2,1,205
26362,"Times Square, Safe, Clean and Cozy!",59734,Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,338,7/15/19,3.01,2,268
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",51038,Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,6/2/19,0.19,6,334
26559,Beautiful Apartment East Village,112793,Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,12/11/17,0.12,1,193
26785,Park Slope Green Guest House,42273,Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,468,7/31/19,4.19,2,281
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,72062,Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,8/9/17,0.06,4,270
26954,NYC fabulous views Manhattan's eye,115157,Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,12/2/15,0.38,1,285
26969,2 story family home in Williamsburg,115307,Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,326,7/15/19,3,1,104
27385,Great Large 1 BR apt  in East Village!,72062,Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,116,7/1/19,1.05,4,281
27531,Eveland Private Bed & Living Room w/ Own Entrance,118971,Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,356,7/24/19,3.19,3,20
27644,Sugar Hill Rest Stop ,119510,Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,198,8/4/19,2.04,1,326
27659,3 Story Town House in Park Slope,119588,Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,12/30/18,0.24,2,242
27759,apartment next to Central park,119900,Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,14,7/26/19,0.13,1,230
27883,East Village Sanctuary,120223,Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,12/10/11,0.23,1,0
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,65091,Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,10/5/18,0.08,1,353
28396,Modern Apt with Spectacular Views,6197784,Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,9/18/11,0.08,1,274
28907,Garden studio in the Upper East Sid,124352,Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,8/15/17,0.19,1,218
29012,Secluded Master Bedroom in Beautiful Huge Apt,124797,Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,8/17/17,0.33,1,339
29013,B & B Room 1,35935,Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,5/14/19,0.57,2,310
29455,ACCOMMODATIONS GALORE #1,126607,Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,6/20/19,1.41,4,195
29628,Sunny Room in New Condo,127608,Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,262,7/28/19,2.35,1,286
29683,Stylish & Sleek Apartment Near SoHo!,125857,Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,76,8/5/19,0.68,1,268
30031,NYC artists’ loft with roof deck,129352,Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,194,7/27/19,1.86,1,3
30927,Unique & Charming small 1br Apt. LES,120335,Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,33,7/10/19,0.3,1,8
31130,Most Central Location!,117287,Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,1,50,5/26/19,0.45,3,246
31902,Sanctuary in East Flatbush,137292,Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,1/1/19,0.02,1,178
31994,Room with En Suite Bathroom & Deck,137814,Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,427,6/26/19,3.86,3,292
32023,FLAT MACDONOUGH,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,231,7/18/19,2.11,2,185
32037,Huge Private  Floor at The Waverly,116599,Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,7/1/19,0.77,3,363
32100,"Modern Greenpoint, Brooklyn Apt",138579,Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,7/30/17,0.03,1,40
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",139612,Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,6/11/18,0.1,1,304
32329,Fully Furnished Beautiful 1 Bedroom,139853,Victor,Manhattan,East Village,40.72895,-73.98377,Entire home/apt,160,14,3,8/19/16,0.04,1,363
32331,"Sunny, Cobble Hill Apartment",139874,Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,4/24/16,0.04,1,0
32363,Fully Furnished Basement Apartment,140025,Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,9/19/11,0.01,1,1
32965,FLAT MACDONOUGH GARDEN,137974,Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,126,7/8/19,1.72,2,197
32969,Light filled Williamsburg Apartment,142833,Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,7/2/19,0.11,1,217
33009,Retreat in Williamsburg,143027,Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,241,6/26/19,2.18,1,250
33014,NYC Zen,143048,Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,31,7/28/19,0.29,1,254
33223,Cozy BR in Wiliamsburg 3 Bedroom,72014,Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,202,7/21/19,1.86,4,256
34760,Sunny Room in Old Historical Brooklyn Townhouse,149929,Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,6/29/19,1.02,5,4
36121,Lg Rm in Historic Prospect Heights,62165,Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,5/10/13,0.09,1,229
36133,Classic Artist Loft Williamsburg,142684,White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,6/13/19,1.6,1,340
36442,Great location. Spacious on PROSPECT PARK,137432,Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,8/27/18,0.05,1,298
36647,Private Bdrm/Bathrm. New! Elevator!,157798,Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,5/29/17,0.32,1,5
36703,"Sunny, clean 1 bdrm in W. Village",158284,Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,3/31/19,1.22,1,341
36934,Great location in Williamsburg,159370,Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,12/27/18,0.25,1,218
38638,Light and Airy Upper East Side 1 BDR apartment,92788,Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,6/26/19,1.15,2,290
38663,Luxury Brownstone in Boerum Hill,165789,Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,12/31/18,0.27,1,119
39267,CENTRAL PARK LOFT all for YOU,168417,Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,237,7/29/19,2.61,2,158
39282,Indie-Chic Share In Williamsburg,168525,Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,203,8/1/19,1.85,2,63
39593,"A room w/ a Manhattan view, longer stay",110506,Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,4/12/19,0.26,1,155
39704,"Private, Large & Sunny 1BR w/W&D",170510,Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,313,7/17/19,2.87,2,2
40039,Luxurious Condo in DUBMO with View,171851,Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,4/25/11,0.13,1,218
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,174025,Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,9/23/16,0.08,1,365
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,180083,Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,7/24/19,3.6,1,0
41513,Convenient cozy cheap apt Manhattan,181167,Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,11/2/15,0.04,1,0
42580,Parlor Room In Victorian Townhouse,137814,Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,298,7/17/19,3.48,3,327
42729,House On Henry (2nd FLR Suite),11481,Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,6/18/19,1.38,3,347
42882,New York room with a view,185978,Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,168,7/31/19,1.66,1,311
43957,Sunny cozy room in Brklyn townhouse,177536,Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,54,8/4/19,1.06,1,39
44096,Room with a View,190409,Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,223,7/21/19,2.06,3,345
44161,Williamsburg Old School Light x Airy x Rustic Loft,193360,Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,7/6/16,1.77,1,206
44212,West Inn 2 - East Village,72062,Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,6/23/19,0.77,4,311
44221,Financial District Luxury Loft,193722,Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,117,7/12/19,1.08,1,20
44229,BROOKLYN VICTORIAN STYLE SUITE.....,181376,Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,216,7/7/19,2.01,2,318
44288,Lovely West Village Studio on tree lined street,193637,Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,6/1/19,0.79,1,193
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,126607,Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,84,8/5/19,0.78,4,188
